## test 13

chr-A	pos-A	direction-A	chr-B	pos-B	direction-B	filter-status	score	soft+hardclips	n-split-reads	n-discordant-reads	n-edges	n-nodes-A	n-nodes-B	entropy-bp-edge	entropy-all-edges	data-structure


chr21	39817544	-	chr21	42878371	+	n_discordant_reads=1/5,n_support=5/20	13	29	4	1	3	3	2	1.0	0.827729376771	chr21:39817544/39817545(-)->chr21:42878371/42878372(+):(spanning_paired_1:2)&chr21:40064721/40064722(-)->chr21:42878371/42878372(+):(spanning_paired_1:2)&chr21:39817410/39817411(-)->chr21:42878907/42878908(+):(discordant_mates:1)



#do not (necessarily) merge - pre-mRNA:
chr21	39850904	-	chr21	42877894	+	n_support=4/8	8	4	2	2	1	1	1	1.0	1.0	chr21:39850904/39850905(-)->chr21:42877894/42877895(+):(discordant_mates:2,spanning_paired_2_t:2)
chr21	39969017	-	chr21	42870045	+	entropy=0.0,n_discordant_reads=0/2,n_support=1/8	2	71	1	0	1	1	1	0.0	0.0	chr21:39969017/39969018(-)->chr21:42870045/42870046(+):(spanning_singleton_1:1)
chr21	39968827	-	chr21	42879876	+	entropy=0.0,n_discordant_reads=1/2,n_support=1/8	1	4	0	1	1	1	1	0.0	0.0	chr21:39968827/39968828(-)->chr21:42879876/42879877(+):(discordant_mates:1)
chr21	39966545	-	chr21	42878372	+	n_support=3/8	3	0	0	3	1	1	1	0.579380164286	0.579380164286	chr21:39966545/39966546(-)->chr21:42878372/42878373(+):(discordant_mates:3)




#  //  issue in multiple splice junctions? - very cool example to debug
chr21	40064721	-	chr21	42880007	-	n_discordant_reads=0/2,n_support=2/8	2	20	2	0	1	1	1	1.0	1.0	chr21:40064721/40064722(-)->chr21:42880007/42880008(-):(spanning_paired_1_s:2)


# Data really suggests a single read in the opposite strand
chr21	40103950	+	chr21	42869215	-	entropy=0.0,n_discordant_reads=0/2,n_support=1/8	3	2	1	0	1	1	1	0.0	0.0	chr21:40103950/40103951(+)->chr21:42869215/42869216(-):(spanning_paired_2:1)


#noise, remove anything >40200000 && < 41000000:
chr21	40834465	+	chr21	42870177	-	n_discordant_reads=2/3,n_support=2/12	2	0	0	2	2	1	2	0.0	1.0	chr21:40834465/40834466(+)->chr21:42870177/42870178(-):(discordant_mates:1)&chr21:40834465/40834466(+)->chr21:42870207/42870208(-):(discordant_mates:1)


